Data Year,Fuel Type,ZIP,Number of Vehicles
2022,Battery Electric (BEV),95467,71
2022,Battery Electric (BEV),95466,16
2022,Battery Electric (BEV),95465,67
2022,Battery Electric (BEV),95464,11
2022,Battery Electric (BEV),95463,3
2022,Battery Electric (BEV),95462,16
2022,Battery Electric (BEV),95461,20
2022,Battery Electric (BEV),95460,56
2022,Battery Electric (BEV),95459,8
2022,Battery Electric (BEV),95458,6
2022,Battery Electric (BEV),95457,10
2022,Battery Electric (BEV),95456,21
2022,Battery Electric (BEV),95454,4
2022,Battery Electric (BEV),95453,47
2022,Battery Electric (BEV),95452,64
2022,Battery Electric (BEV),95451,60
2022,Battery Electric (BEV),95450,11
2022,Battery Electric (BEV),95449,16
2022,Battery Electric (BEV),95448,473
2022,Battery Electric (BEV),95446,75
2022,Battery Electric (BEV),95445,52
2022,Battery Electric (BEV),95444,35
2022,Battery Electric (BEV),95443,2
2022,Battery Electric (BEV),95442,83
2022,Battery Electric (BEV),95441,40
2022,Battery Electric (BEV),95439,5
2022,Battery Electric (BEV),95437,80
2022,Battery Electric (BEV),95436,96
2022,Battery Electric (BEV),95433,2
2022,Battery Electric (BEV),95432,12
2022,Battery Electric (BEV),95430,4
2022,Battery Electric (BEV),95428,5
2022,Battery Electric (BEV),95427,1
2022,Battery Electric (BEV),95426,13
2022,Battery Electric (BEV),95425,144
2022,Battery Electric (BEV),95423,11
2022,Battery Electric (BEV),95422,30
2022,Battery Electric (BEV),95421,32
2022,Battery Electric (BEV),95420,11
2022,Battery Electric (BEV),95419,4
2022,Battery Electric (BEV),95416,5
2022,Battery Electric (BEV),95415,14
2022,Battery Electric (BEV),95412,7
2022,Battery Electric (BEV),95410,17
2022,Battery Electric (BEV),95409,597
2022,Battery Electric (BEV),95407,303
2022,Battery Electric (BEV),95406,3
2022,Battery Electric (BEV),95405,445
2022,Battery Electric (BEV),95404,927
2022,Battery Electric (BEV),95403,685
2022,Battery Electric (BEV),95402,14
2022,Battery Electric (BEV),95401,403
2022,Battery Electric (BEV),95391,1652
2022,Battery Electric (BEV),95389,4
2022,Battery Electric (BEV),95388,24
2022,Battery Electric (BEV),95386,34
2022,Battery Electric (BEV),95383,20
2022,Battery Electric (BEV),95382,388
2022,Battery Electric (BEV),95381,4
2022,Battery Electric (BEV),95380,193
2022,Battery Electric (BEV),95379,13
2022,Battery Electric (BEV),95378,5
2022,Battery Electric (BEV),95377,1235
2022,Battery Electric (BEV),95376,596
2022,Battery Electric (BEV),95375,1
2022,Battery Electric (BEV),95374,6
2022,Battery Electric (BEV),95372,13
2022,Battery Electric (BEV),95370,120
2022,Battery Electric (BEV),95369,2
2022,Battery Electric (BEV),95368,82
2022,Battery Electric (BEV),95367,136
2022,Battery Electric (BEV),95366,212
2022,Battery Electric (BEV),95365,8
2022,Battery Electric (BEV),95364,1
2022,Battery Electric (BEV),95363,308
2022,Battery Electric (BEV),95361,212
2022,Battery Electric (BEV),95360,68
2022,Battery Electric (BEV),95358,94
2022,Battery Electric (BEV),95357,67
2022,Battery Electric (BEV),95356,453
2022,Battery Electric (BEV),95355,442
2022,Battery Electric (BEV),95354,118
2022,Battery Electric (BEV),95353,2
2022,Battery Electric (BEV),95352,3
2022,Battery Electric (BEV),95351,104
2022,Battery Electric (BEV),95350,264
2022,Battery Electric (BEV),95348,150
2022,Battery Electric (BEV),95346,2
2022,Battery Electric (BEV),95343,5
2022,Battery Electric (BEV),95341,70
2022,Battery Electric (BEV),95340,199
2022,Battery Electric (BEV),95338,53
2022,Battery Electric (BEV),95337,777
2022,Battery Electric (BEV),95336,328
2022,Battery Electric (BEV),95335,4
2022,Battery Electric (BEV),95334,94
2022,Battery Electric (BEV),95333,5
2022,Battery Electric (BEV),95330,890
2022,Battery Electric (BEV),95329,12
2022,Battery Electric (BEV),95328,18
2022,Battery Electric (BEV),95327,20
2022,Battery Electric (BEV),95326,64
2022,Battery Electric (BEV),95324,35
2022,Battery Electric (BEV),95323,10
2022,Battery Electric (BEV),95322,36
2022,Battery Electric (BEV),95321,55
2022,Battery Electric (BEV),95320,65
2022,Battery Electric (BEV),95319,1
2022,Battery Electric (BEV),95318,1
2022,Battery Electric (BEV),95317,2
2022,Battery Electric (BEV),95316,47
2022,Battery Electric (BEV),95315,45
2022,Battery Electric (BEV),95313,2
2022,Battery Electric (BEV),95311,2
2022,Battery Electric (BEV),95310,14
2022,Battery Electric (BEV),95309,1
2022,Battery Electric (BEV),95307,194
2022,Battery Electric (BEV),95306,7
2022,Battery Electric (BEV),95304,298
2022,Battery Electric (BEV),95303,5
2022,Battery Electric (BEV),95301,185
2022,Battery Electric (BEV),95269,3
2022,Battery Electric (BEV),95258,44
2022,Battery Electric (BEV),95257,1
2022,Battery Electric (BEV),95255,4
2022,Battery Electric (BEV),95254,11
2022,Battery Electric (BEV),95253,2
2022,Battery Electric (BEV),95252,72
2022,Battery Electric (BEV),95251,2
2022,Battery Electric (BEV),95249,10
2022,Battery Electric (BEV),95248,3
2022,Battery Electric (BEV),95247,38
2022,Battery Electric (BEV),95246,5
2022,Battery Electric (BEV),95245,10
2022,Battery Electric (BEV),95242,317
2022,Battery Electric (BEV),95241,1
2022,Battery Electric (BEV),95240,227
2022,Battery Electric (BEV),95237,16
2022,Battery Electric (BEV),95236,24
2022,Battery Electric (BEV),95231,14
2022,Battery Electric (BEV),95230,5
2022,Battery Electric (BEV),95228,55
2022,Battery Electric (BEV),95227,8
2022,Battery Electric (BEV),95225,3
2022,Battery Electric (BEV),95224,3
2022,Battery Electric (BEV),95223,37
2022,Battery Electric (BEV),95222,27
2022,Battery Electric (BEV),95221,1
2022,Battery Electric (BEV),95220,60
2022,Battery Electric (BEV),95219,515
2022,Battery Electric (BEV),95215,79
2022,Battery Electric (BEV),95213,1
2022,Battery Electric (BEV),95212,367
2022,Battery Electric (BEV),95211,1
2022,Battery Electric (BEV),95210,116
2022,Battery Electric (BEV),95209,410
2022,Battery Electric (BEV),95208,2
2022,Battery Electric (BEV),95207,221
2022,Battery Electric (BEV),95206,283
2022,Battery Electric (BEV),95205,62
2022,Battery Electric (BEV),95204,133
2022,Battery Electric (BEV),95203,50
2022,Battery Electric (BEV),95202,27
2022,Battery Electric (BEV),95201,2
2022,Battery Electric (BEV),95173,3
2022,Battery Electric (BEV),95170,1
2022,Battery Electric (BEV),95164,1
2022,Battery Electric (BEV),95161,15
2022,Battery Electric (BEV),95160,2
2022,Battery Electric (BEV),95159,2
2022,Battery Electric (BEV),95158,4
2022,Battery Electric (BEV),95157,3
2022,Battery Electric (BEV),95155,5
2022,Battery Electric (BEV),95154,4
2022,Battery Electric (BEV),95153,5
2022,Battery Electric (BEV),95152,8
2022,Battery Electric (BEV),95151,2
2022,Battery Electric (BEV),95150,4
2022,Battery Electric (BEV),95148,1707
2022,Battery Electric (BEV),95141,2
2022,Battery Electric (BEV),95140,12
2022,Battery Electric (BEV),95139,254
2022,Battery Electric (BEV),95138,1540
2022,Battery Electric (BEV),95136,1473
2022,Battery Electric (BEV),95135,1483
2022,Battery Electric (BEV),95134,1313
2022,Battery Electric (BEV),95133,894
2022,Battery Electric (BEV),95132,1277
2022,Battery Electric (BEV),95131,1271
2022,Battery Electric (BEV),95130,576
2022,Battery Electric (BEV),95129,1880
2022,Battery Electric (BEV),95128,960
2022,Battery Electric (BEV),95127,936
2022,Battery Electric (BEV),95126,1120
2022,Battery Electric (BEV),95125,2341
2022,Battery Electric (BEV),95124,2321
2022,Battery Electric (BEV),95123,1965
2022,Battery Electric (BEV),95122,549
2022,Battery Electric (BEV),95121,1089
2022,Battery Electric (BEV),95120,2824
2022,Battery Electric (BEV),95119,450
2022,Battery Electric (BEV),95118,1144
2022,Battery Electric (BEV),95117,671
2022,Battery Electric (BEV),95116,426
2022,Battery Electric (BEV),95113,126
2022,Battery Electric (BEV),95112,1019
2022,Battery Electric (BEV),95111,941
2022,Battery Electric (BEV),95110,441
2022,Battery Electric (BEV),95109,1
2022,Battery Electric (BEV),95108,1
2022,Battery Electric (BEV),95103,2
2022,Battery Electric (BEV),95077,3
2022,Battery Electric (BEV),95076,637
2022,Battery Electric (BEV),95075,6
2022,Battery Electric (BEV),95073,264
2022,Battery Electric (BEV),95071,4
2022,Battery Electric (BEV),95070,3223
2022,Battery Electric (BEV),95067,6
2022,Battery Electric (BEV),95066,540
2022,Battery Electric (BEV),95065,262
2022,Battery Electric (BEV),95064,21
2022,Battery Electric (BEV),95063,15
2022,Battery Electric (BEV),95062,685
2022,Battery Electric (BEV),95061,5
2022,Battery Electric (BEV),95060,1206
2022,Battery Electric (BEV),95056,2
2022,Battery Electric (BEV),95055,7
2022,Battery Electric (BEV),95054,1374
2022,Battery Electric (BEV),95053,2
2022,Battery Electric (BEV),95052,5
2022,Battery Electric (BEV),95051,2511
2022,Battery Electric (BEV),95050,1080
2022,Battery Electric (BEV),95046,143
2022,Battery Electric (BEV),95045,106
2022,Battery Electric (BEV),95044,2
2022,Battery Electric (BEV),95043,6
2022,Battery Electric (BEV),95042,1
2022,Battery Electric (BEV),95041,10
2022,Battery Electric (BEV),95039,7
2022,Battery Electric (BEV),95038,3
2022,Battery Electric (BEV),95037,2141
2022,Battery Electric (BEV),95036,3
2022,Battery Electric (BEV),95035,3596
2022,Battery Electric (BEV),95033,597
2022,Battery Electric (BEV),95032,2010
2022,Battery Electric (BEV),95031,25
2022,Battery Electric (BEV),95030,1289
2022,Battery Electric (BEV),95024,6
2022,Battery Electric (BEV),95023,737
2022,Battery Electric (BEV),95021,3
2022,Battery Electric (BEV),95020,1483
2022,Battery Electric (BEV),95019,21
2022,Battery Electric (BEV),95018,147
2022,Battery Electric (BEV),95017,12
2022,Battery Electric (BEV),95015,16
2022,Battery Electric (BEV),95014,4033
2022,Battery Electric (BEV),95013,1
2022,Battery Electric (BEV),95012,42
2022,Battery Electric (BEV),95011,6
