_id,Taxable Year,Zip Code,State,City,County,Returns,California AGI,Total Tax Liability
394,2022,91715,CA,City Of Industry,Los Angeles,291,"27,852,754","1,206,125"
395,2022,91722,CA,Covina,Los Angeles,"17,071","1,047,057,414","28,027,847"
396,2022,91723,CA,Covina,Los Angeles,"9,523","765,602,948","33,406,468"
397,2022,91724,CA,Covina,Los Angeles,"12,724","1,120,962,696","44,322,956"
398,2022,91729,CA,Rancho Cucamonga,San Bernardino,"1,012","116,548,638","7,721,034"
399,2022,91730,CA,Rancho Cucamonga,San Bernardino,"31,369","2,184,991,661","72,315,233"
400,2022,91731,CA,El Monte,Los Angeles,"11,688","599,560,851","15,038,663"
401,2022,91732,CA,El Monte,Los Angeles,"25,426","1,175,609,298","24,815,025"
402,2022,91733,CA,South El Monte,Los Angeles,"17,720","813,949,991","17,146,240"
403,2022,91734,CA,El Monte,Los Angeles,328,"24,459,244","1,400,397"
404,2022,91737,CA,Rancho Cucamonga,San Bernardino,"11,106","1,325,718,495","60,780,329"
405,2022,91739,CA,Rancho Cucamonga,San Bernardino,"17,186","2,032,062,322","91,160,332"
406,2022,91740,CA,Glendora,Los Angeles,"12,336","937,572,701","32,905,046"
407,2022,91741,CA,Glendora,Los Angeles,"12,485","1,637,322,318","80,508,519"
408,2022,91743,CA,Guasti,San Bernardino,85,"6,573,817","235,871"
409,2022,91744,CA,La Puente,Los Angeles,"36,853","1,795,824,138","35,629,855"
410,2022,91745,CA,Hacienda Heights,Los Angeles,"26,055","2,084,184,159","81,614,719"
411,2022,91746,CA,La Puente,Los Angeles,"13,328","950,912,591","28,421,852"
412,2022,91747,CA,La Puente,Los Angeles,332,"17,210,196","346,311"
413,2022,91748,CA,Rowland Heights,Los Angeles,"22,298","1,696,924,669","66,472,190"
414,2022,91750,CA,La Verne,Los Angeles,"16,052","1,678,450,363","70,632,375"
415,2022,91752,CA,Mira Loma,Riverside,"16,670","1,143,539,351","34,459,418"
416,2022,91754,CA,Monterey Park,Los Angeles,"17,405","1,279,054,291","51,777,337"
417,2022,91755,CA,Monterey Park,Los Angeles,"14,763","827,656,016","27,150,015"
418,2022,91759,CA,Mt Baldy,Los Angeles,206,"18,840,998","867,861"
419,2022,91761,CA,Ontario,San Bernardino,"29,574","1,891,391,291","54,966,125"
420,2022,91762,CA,Ontario,San Bernardino,"29,316","1,788,212,260","49,205,307"
421,2022,91763,CA,Montclair,San Bernardino,"16,784","895,900,833","20,542,097"
422,2022,91764,CA,Ontario,San Bernardino,"24,179","1,270,528,423","31,097,072"
423,2022,91765,CA,Diamond Bar,Los Angeles,"22,762","2,393,876,091","109,053,451"
424,2022,91766,CA,Pomona,Los Angeles,"30,027","1,609,340,239","39,844,215"
425,2022,91767,CA,Pomona,Los Angeles,"21,600","1,179,643,735","28,972,772"
426,2022,91768,CA,Pomona,Los Angeles,"13,316","676,924,076","14,824,392"
427,2022,91769,CA,Pomona,Los Angeles,479,"23,693,679","615,147"
428,2022,91770,CA,Rosemead,Los Angeles,"28,732","1,491,528,197","42,402,127"
429,2022,91773,CA,San Dimas,Los Angeles,"16,040","1,554,598,299","65,401,314"
430,2022,91775,CA,San Gabriel,Los Angeles,"11,249","1,150,483,569","52,987,356"
431,2022,91776,CA,San Gabriel,Los Angeles,"18,712","1,018,581,324","31,328,948"
432,2022,91778,CA,San Gabriel,Los Angeles,322,"28,909,530","1,664,279"
433,2022,91780,CA,Temple City,Los Angeles,"17,255","1,325,469,419","50,892,494"
434,2022,91784,CA,Upland,San Bernardino,"13,536","1,742,825,654","80,817,796"
435,2022,91785,CA,Upland,San Bernardino,493,"172,944,451","7,189,309"
436,2022,91786,CA,Upland,San Bernardino,"24,432","1,627,188,295","53,043,985"
437,2022,91788,CA,Walnut,Los Angeles,351,"36,249,549","1,280,187"
438,2022,91789,CA,Walnut,Los Angeles,"20,717","2,487,903,160","116,906,202"
439,2022,91790,CA,West Covina,Los Angeles,"21,098","1,331,192,767","38,956,282"
440,2022,91791,CA,West Covina,Los Angeles,"15,875","1,376,206,401","55,148,030"
441,2022,91792,CA,West Covina,Los Angeles,"13,947","825,853,864","25,047,505"
442,2022,91793,CA,West Covina,Los Angeles,298,"25,407,349","1,409,106"
443,2022,91801,CA,Alhambra,Los Angeles,"25,548","1,735,831,165","63,313,283"
444,2022,91802,CA,Alhambra,Los Angeles,587,"47,559,107","1,922,320"
445,2022,91803,CA,Alhambra,Los Angeles,"14,563","981,448,187","34,178,991"
446,2022,91901,CA,Alpine,San Diego,"7,662","858,347,243","34,724,126"
447,2022,91902,CA,Bonita,San Diego,"8,606","908,642,609","40,348,449"
448,2022,91903,CA,Alpine,San Diego,563,"53,403,031","2,592,337"
449,2022,91905,CA,Boulevard,San Diego,655,"37,953,931","1,163,137"
450,2022,91906,CA,Campo,San Diego,"1,588","103,983,623","2,467,863"
451,2022,91908,CA,Bonita,San Diego,305,"28,902,051","1,260,256"
452,2022,91909,CA,Chula Vista,San Diego,274,"17,915,313","479,250"
453,2022,91910,CA,Chula Vista,San Diego,"37,983","2,544,967,168","80,036,325"
454,2022,91911,CA,Chula Vista,San Diego,"41,397","2,252,737,798","52,152,750"
455,2022,91912,CA,Chula Vista,San Diego,"1,134","63,418,906","1,824,627"
456,2022,91913,CA,Chula Vista,San Diego,"24,895","2,273,128,278","80,542,171"
457,2022,91914,CA,Chula Vista,San Diego,"7,624","990,372,553","49,129,308"
458,2022,91915,CA,Chula Vista,San Diego,"14,919","1,388,231,514","50,332,078"
459,2022,91916,CA,Descanso,San Diego,876,"79,304,182","2,882,650"
460,2022,91917,CA,Dulzura,San Diego,536,"26,344,439","533,781"
461,2022,91921,CA,Chula Vista,San Diego,414,"41,667,801","2,062,555"
462,2022,91931,CA,Guatay,San Diego,172,"9,365,379","244,826"
463,2022,91932,CA,Imperial Beach,San Diego,"11,372","661,964,188","18,054,021"
