index,ZIP,County,ZIP Code Population,EV Count in Zip,ZEV Sales in County,County Population
394,91381,los angeles,21857.0,2401.0,125196,"9,663,345"
395,91382,los angeles,,,125196,"9,663,345"
396,91383,los angeles,,,125196,"9,663,345"
397,91384,los angeles,27278.0,1035.0,125196,"9,663,345"
398,91385,los angeles,,5.0,125196,"9,663,345"
399,91386,los angeles,,3.0,125196,"9,663,345"
400,91387,los angeles,46283.0,2241.0,125196,"9,663,345"
401,91390,los angeles,18722.0,1027.0,125196,"9,663,345"
402,91392,los angeles,,1.0,125196,"9,663,345"
403,91393,los angeles,,1.0,125196,"9,663,345"
404,91394,los angeles,,10.0,125196,"9,663,345"
405,91395,los angeles,,2.0,125196,"9,663,345"
406,91396,los angeles,,2.0,125196,"9,663,345"
407,91401,los angeles,39011.0,1915.0,125196,"9,663,345"
408,91402,los angeles,66710.0,1019.0,125196,"9,663,345"
409,91403,los angeles,25566.0,2196.0,125196,"9,663,345"
410,91404,los angeles,,,125196,"9,663,345"
411,91405,los angeles,54887.0,1896.0,125196,"9,663,345"
412,91406,los angeles,52661.0,1762.0,125196,"9,663,345"
413,91407,los angeles,,,125196,"9,663,345"
414,91408,los angeles,,2.0,125196,"9,663,345"
415,91409,los angeles,,13.0,125196,"9,663,345"
416,91411,los angeles,23520.0,934.0,125196,"9,663,345"
417,91412,los angeles,,2.0,125196,"9,663,345"
418,91413,los angeles,,19.0,125196,"9,663,345"
419,91416,los angeles,,9.0,125196,"9,663,345"
420,91423,los angeles,32536.0,2449.0,125196,"9,663,345"
421,91426,los angeles,,23.0,125196,"9,663,345"
422,91436,los angeles,16424.0,2422.0,125196,"9,663,345"
423,91470,los angeles,,,125196,"9,663,345"
424,91482,los angeles,,,125196,"9,663,345"
425,91499,los angeles,,,125196,"9,663,345"
426,91501,los angeles,19343.0,1155.0,125196,"9,663,345"
427,91502,los angeles,11732.0,444.0,125196,"9,663,345"
428,91503,los angeles,,5.0,125196,"9,663,345"
429,91504,los angeles,27268.0,1428.0,125196,"9,663,345"
430,91505,los angeles,31843.0,1553.0,125196,"9,663,345"
431,91506,los angeles,18773.0,991.0,125196,"9,663,345"
432,91507,los angeles,,1.0,125196,"9,663,345"
433,91508,los angeles,,2.0,125196,"9,663,345"
434,91510,los angeles,,17.0,125196,"9,663,345"
435,91521,los angeles,,3.0,125196,"9,663,345"
436,91522,los angeles,,,125196,"9,663,345"
437,91523,los angeles,,,125196,"9,663,345"
438,91601,los angeles,37033.0,1508.0,125196,"9,663,345"
439,91602,los angeles,19760.0,1328.0,125196,"9,663,345"
440,91603,los angeles,,8.0,125196,"9,663,345"
441,91604,los angeles,32118.0,2918.0,125196,"9,663,345"
442,91605,los angeles,52086.0,1435.0,125196,"9,663,345"
443,91606,los angeles,43202.0,1307.0,125196,"9,663,345"
444,91607,los angeles,30918.0,1622.0,125196,"9,663,345"
445,91608,los angeles,38.0,4.0,125196,"9,663,345"
446,91609,los angeles,,3.0,125196,"9,663,345"
447,91610,los angeles,,4.0,125196,"9,663,345"
448,91614,los angeles,,7.0,125196,"9,663,345"
449,91615,los angeles,,3.0,125196,"9,663,345"
451,91617,los angeles,,3.0,125196,"9,663,345"
452,91701,san bernardino,38597.0,1458.0,16021,"2,195,611"
453,91702,los angeles,61766.0,1499.0,125196,"9,663,345"
454,91706,los angeles,71620.0,1479.0,125196,"9,663,345"
455,91708,san bernardino,17308.0,1482.0,16021,"2,195,611"
456,91708,riverside,17308.0,1482.0,19919,"2,492,442"
457,91709,san bernardino,78200.0,6252.0,16021,"2,195,611"
458,91709,los angeles,78200.0,6252.0,125196,"9,663,345"
459,91710,san bernardino,80186.0,3077.0,16021,"2,195,611"
460,91710,los angeles,80186.0,3077.0,125196,"9,663,345"
461,91711,los angeles,37538.0,2020.0,125196,"9,663,345"
462,91714,los angeles,,,125196,"9,663,345"
