Data Year,Quarter,COUNTY,Total LDV Sales,ZEV Sales,ZEV Sales Share
2022,Q2,Tuolumne,301,31,0.102990033222591
2022,Q2,Ventura,8351,1655,0.198179858699556
2022,Q2,Yolo,1394,261,0.187230989956958
2022,Q2,Yuba,521,39,0.0748560460652591
2022,Q3,Alameda,12960,4212,0.325
2022,Q3,Alpine,14,2,0.142857142857142
2022,Q3,Amador,228,30,0.131578947368421
2022,Q3,Butte,1074,104,0.0968342644320297
2022,Q3,Calaveras,291,25,0.0859106529209622
2022,Q3,Colusa,129,6,0.0465116279069767
2022,Q3,Contra Costa,9855,2693,0.273262303399289
2022,Q3,Del Norte,86,1,0.0116279069767441
2022,Q3,El Dorado,1493,279,0.186872069658405
2022,Q3,Fresno,6377,719,0.112748941508546
2022,Q3,Glenn,164,10,0.0609756097560975
2022,Q3,Humboldt,572,81,0.141608391608391
2022,Q3,Imperial,1948,79,0.0405544147843942
2022,Q3,Inyo,144,14,0.0972222222222222
2022,Q3,Kern,6654,555,0.0834084761045987
2022,Q3,Kings,917,57,0.0621592148309705
2022,Q3,Lake,253,28,0.110671936758893
2022,Q3,Lassen,113,3,0.0265486725663716
2022,Q3,Los Angeles,100926,20143,0.199581871866516
2022,Q3,Madera,934,70,0.0749464668094218
2022,Q3,Marin,2353,821,0.348916277093072
2022,Q3,Mariposa,68,6,0.088235294117647
2022,Q3,Mendocino,444,45,0.101351351351351
2022,Q3,Merced,1401,125,0.0892219842969307
2022,Q3,Modoc,26,0,0.0
2022,Q3,Mono,103,7,0.0679611650485436
2022,Q3,Monterey,2645,374,0.141398865784499
2022,Q3,Napa,1057,223,0.210974456007568
2022,Q3,Nevada,592,104,0.175675675675675
2022,Q3,Orange,37955,9368,0.246818600974838
2022,Q3,Out Of State,18574,747,0.0402175083449983
2022,Q3,Placer,3926,846,0.215486500254712
2022,Q3,Plumas,81,3,0.037037037037037
2022,Q3,Riverside,23874,3535,0.14806902906928
2022,Q3,Sacramento,10257,1892,0.184459393584868
2022,Q3,San Benito,534,112,0.209737827715355
2022,Q3,San Bernardino,20255,2856,0.14100222167366
2022,Q3,San Diego,32304,6848,0.21198613174839
2022,Q3,San Francisco,6574,1604,0.243991481594158
2022,Q3,San Joaquin,5819,976,0.167726413473105
2022,Q3,San Luis Obispo,1967,358,0.182003050330452
2022,Q3,San Mateo,9780,3758,0.384253578732106
2022,Q3,Santa Barbara,3273,557,0.170180262755881
2022,Q3,Santa Clara,18895,6891,0.364699655993649
2022,Q3,Santa Cruz,1548,360,0.232558139534883
2022,Q3,Shasta,1050,96,0.0914285714285714
2022,Q3,Sierra,17,2,0.117647058823529
2022,Q3,Siskiyou,189,17,0.0899470899470899
2022,Q3,Solano,3204,593,0.185081148564294
2022,Q3,Sonoma,3650,711,0.194794520547945
2022,Q3,Stanislaus,3467,351,0.1012402653591
2022,Q3,Sutter,689,66,0.0957910014513788
2022,Q3,Tehama,288,16,0.0555555555555555
2022,Q3,Trinity,38,1,0.0263157894736842
2022,Q3,Tulare,2815,185,0.0657193605683836
2022,Q3,Tuolumne,309,31,0.100323624595469
2022,Q3,Ventura,7644,1675,0.219126111983254
2022,Q3,Yolo,1413,277,0.196036801132342
2022,Q3,Yuba,434,46,0.105990783410138
2022,Q4,Alameda,14626,5306,0.362778613428141
2022,Q4,Alpine,7,3,0.428571428571428
2022,Q4,Amador,222,18,0.081081081081081
2022,Q4,Butte,1169,120,0.102651839178785
2022,Q4,Calaveras,320,26,0.08125
2022,Q4,Colusa,168,9,0.0535714285714285
2022,Q4,Contra Costa,10820,3460,0.319778188539741
2022,Q4,Del Norte,88,4,0.0454545454545454
2022,Q4,El Dorado,1615,350,0.216718266253869
2022,Q4,Fresno,6427,798,0.1241636844562
2022,Q4,Glenn,162,7,0.0432098765432098
2022,Q4,Humboldt,673,91,0.13521545319465
2022,Q4,Imperial,1888,67,0.0354872881355932
2022,Q4,Inyo,146,17,0.116438356164383
2022,Q4,Kern,6943,594,0.0855537951893994
2022,Q4,Kings,886,58,0.0654627539503386
2022,Q4,Lake,289,27,0.0934256055363321
2022,Q4,Lassen,104,5,0.048076923076923
2022,Q4,Los Angeles,111116,25421,0.228778933726916
2022,Q4,Madera,887,96,0.108229988726042
2022,Q4,Marin,2808,1071,0.381410256410256
2022,Q4,Mariposa,90,15,0.166666666666666
2022,Q4,Mendocino,481,63,0.13097713097713
2022,Q4,Merced,1398,143,0.102288984263233
2022,Q4,Modoc,27,1,0.037037037037037
2022,Q4,Mono,99,17,0.171717171717171
2022,Q4,Monterey,2731,462,0.169168802636396
2022,Q4,Napa,1190,289,0.242857142857142
2022,Q4,Nevada,643,138,0.21461897356143
2022,Q4,Orange,41586,11303,0.271798201317751
2022,Q4,Out Of State,17627,626,0.0355137005729846
2022,Q4,Placer,4382,1032,0.235508900045641
2022,Q4,Plumas,80,6,0.075
2022,Q4,Riverside,24385,3809,0.156202583555464
2022,Q4,Sacramento,11327,2845,0.251169771342809
2022,Q4,San Benito,555,105,0.189189189189189
2022,Q4,San Bernardino,20688,3245,0.156854215003866
2022,Q4,San Diego,33778,7758,0.229676120551838
2022,Q4,San Francisco,6244,2129,0.34096732863549
2022,Q4,San Joaquin,6113,1254,0.205136594143628
2022,Q4,San Luis Obispo,2167,472,0.217812644208583
2022,Q4,San Mateo,10099,3714,0.367759184077631
2022,Q4,Santa Barbara,3440,669,0.194476744186046
2022,Q4,Santa Clara,20590,7941,0.385672656629431
2022,Q4,Santa Cruz,1733,475,0.274091171379111
2022,Q4,Shasta,1182,111,0.0939086294416243
2022,Q4,Sierra,17,0,0.0
2022,Q4,Siskiyou,235,20,0.0851063829787234
