Data Year,Fuel Type,ZIP,Number of Vehicles
2023,Battery Electric (BEV),91416,8
2023,Battery Electric (BEV),91423,1804
2023,Battery Electric (BEV),91426,17
2023,Battery Electric (BEV),91436,1955
2023,Battery Electric (BEV),91501,839
2023,Battery Electric (BEV),91502,297
2023,Battery Electric (BEV),91503,2
2023,Battery Electric (BEV),91504,1047
2023,Battery Electric (BEV),91505,1066
2023,Battery Electric (BEV),91506,673
2023,Battery Electric (BEV),91507,1
2023,Battery Electric (BEV),91508,2
2023,Battery Electric (BEV),91510,9
2023,Battery Electric (BEV),91521,3
2023,Battery Electric (BEV),91601,1022
2023,Battery Electric (BEV),91602,952
2023,Battery Electric (BEV),91603,6
2023,Battery Electric (BEV),91604,2150
2023,Battery Electric (BEV),91605,1002
2023,Battery Electric (BEV),91606,901
2023,Battery Electric (BEV),91607,1179
2023,Battery Electric (BEV),91608,2
2023,Battery Electric (BEV),91609,3
2023,Battery Electric (BEV),91610,2
2023,Battery Electric (BEV),91614,2
2023,Battery Electric (BEV),91615,3
2023,Battery Electric (BEV),91616,1
2023,Battery Electric (BEV),91701,1046
2023,Battery Electric (BEV),91702,1072
2023,Battery Electric (BEV),91706,994
2023,Battery Electric (BEV),91708,1229
2023,Battery Electric (BEV),91709,4992
2023,Battery Electric (BEV),91710,2313
2023,Battery Electric (BEV),91711,1355
2023,Battery Electric (BEV),91715,10
2023,Battery Electric (BEV),91722,572
2023,Battery Electric (BEV),91723,366
2023,Battery Electric (BEV),91724,672
2023,Battery Electric (BEV),91729,14
2023,Battery Electric (BEV),91730,1538
2023,Battery Electric (BEV),91731,485
2023,Battery Electric (BEV),91732,911
2023,Battery Electric (BEV),91733,581
2023,Battery Electric (BEV),91734,4
2023,Battery Electric (BEV),91737,911
2023,Battery Electric (BEV),91739,2098
2023,Battery Electric (BEV),91740,584
2023,Battery Electric (BEV),91741,961
2023,Battery Electric (BEV),91743,2
2023,Battery Electric (BEV),91744,942
2023,Battery Electric (BEV),91745,2040
2023,Battery Electric (BEV),91746,361
2023,Battery Electric (BEV),91747,2
2023,Battery Electric (BEV),91748,2025
2023,Battery Electric (BEV),91750,936
2023,Battery Electric (BEV),91752,970
2023,Battery Electric (BEV),91754,1232
2023,Battery Electric (BEV),91755,888
2023,Battery Electric (BEV),91759,8
2023,Battery Electric (BEV),91761,1884
2023,Battery Electric (BEV),91762,1380
2023,Battery Electric (BEV),91763,517
2023,Battery Electric (BEV),91764,601
2023,Battery Electric (BEV),91765,3089
2023,Battery Electric (BEV),91766,1021
2023,Battery Electric (BEV),91767,586
2023,Battery Electric (BEV),91768,316
2023,Battery Electric (BEV),91769,6
2023,Battery Electric (BEV),91770,1817
2023,Battery Electric (BEV),91773,1057
2023,Battery Electric (BEV),91775,1057
2023,Battery Electric (BEV),91776,1127
2023,Battery Electric (BEV),91778,4
2023,Battery Electric (BEV),91780,1591
2023,Battery Electric (BEV),91784,1282
2023,Battery Electric (BEV),91785,1
2023,Battery Electric (BEV),91786,842
2023,Battery Electric (BEV),91788,15
2023,Battery Electric (BEV),91789,2971
2023,Battery Electric (BEV),91790,1019
2023,Battery Electric (BEV),91791,1247
